id;question;extra;suspicious_status;suspicious_note
# personal-subj: identification
000;[I:t.Personal,s1] like coffee.;Мне нравится кофе.;0;
000;[I:t.Personal,s1] will call you tomorrow.;Я позвоню тебе завтра.;0;
000;[I:t.Personal,s1] am here.;Я здесь.;0;
000;[You:t.Personal,s2] are my friend.;Ты мой друг.;0;
000;[You:t.Personal,s2] can do it.;Ты можешь это сделать.;0;
000;[You:t.Personal,s2] look tired.;Ты выглядишь уставшим.;0;
000;[He:t.Personal,s3m] is a teacher.;Он учитель.;0;
001;[He:t.Personal,s3m] works every day.;Он работает каждый день.;0;
002;[He:t.Personal,s3m] likes pizza.;Он любит пиццу.;0;
005;[She:t.Personal,s3f] loves coffee.;Она любит кофе.;0;
006;[She:t.Personal,s3f] is very kind.;Она очень добрая.;0;
007;[She:t.Personal,s3f] told me the truth.;Она сказала мне правду.;0;
000;[It:t.Personal,s3n] is raining.;Идёт дождь.;0;
001;[It:t.Personal,s3n] looks delicious.;Оно выглядит вкусно.;0;
002;[It:t.Personal,s3n] is very expensive.;Оно очень дорого.;0;
005;[We:t.Personal,p1] are happy.;Мы счастливы.;0;
006;[We:t.Personal,p1] will meet tomorrow.;Мы встретимся завтра.;0;
007;[We:t.Personal,p1] like this place.;Нам нравится это место.;0;
000;[You:t.Personal,s2] are welcome here.;Вы здесь желанны.;0;
001;[You:t.Personal,s2] should try this.;Вы должны попробовать это.;0;
002;[You:t.Personal,s2] are very polite.;Вы очень вежливы.;0;
005;[They:t.Personal,p3] are coming.;Они идут.;0;
006;[They:t.Personal,p3] work together.;Они работают вместе.;0;
007;[They:t.Personal,p3] have a big house.;У них большой дом.;0;
000;[I:t.Personal,s1] was surprised when I saw the results.;Я был удивлён, когда увидел результаты.;0;
001;She told me that [I:t.Personal,s1] should try harder.;Она сказала мне, что я должен стараться больше.;0;
002;We all know that [you:t.Personal,s2] have the skills to succeed.;Мы все знаем, что у тебя есть навыки, чтобы добиться успеха.;0;
003;They asked if [you:t.Personal,s2] were available for the meeting.;Они спросили, свободны ли вы для встречи.;0;
002;Can you explain why [you:t.Personal,s2] made that decision?;Можешь объяснить, почему ты принял такое решение?;0;
003;They were shocked that [you:t.Personal,s2] knew the answer.;Они были шокированы, что ты знал ответ.;0;
002;She asked whether [you:t.Personal,s2] wanted to join the project.;Она спросила, хочешь ли ты присоединиться к проекту.;0;
